# Format: name,enabled,days,start_hour,start_min,end_hour,end_min,image,progressbar
# enabled: 1=true, 0=false
# days: 0-6 for Mon-Sun (e.g., "01234" = Mon-Fri)
# progressbar: 1=true, 0=false
Get Dressed,1,0,1,2,3,4,5,1,2,3,4,art class.bmp,1
Eat Breakfast,1,0123456,7,15,7,40,breakfast.bmp,1
Toilet and Teeth AM,1,0123456,7,40,7,50,toilet_and_teeth.bmp,1
Go to School,1,01234,7,50,8,15,go_to_school.bmp,1
Quiet Time,1,56,12,30,13,30,quiet_time.bmp,1
Eat Dinner,1,0123456,18,30,19,0,dinner.bmp,1
Bath Time,1,0123456,19,0,19,30,bath_time.bmp,1
Pajamas On,1,0123456,19,30,19,40,get_dressed_night.bmp,1
Toilet and Teeth PM,1,,19,40,19,50,toilet_and_teeth.bmp,1
Story and Sleep,1,0123456,19,50,20,5,story_and_bed.bmp,1
Sleep,1,0123456,20,5,20,35,bed.bmp,0
