# Format: name,enabled,days,start_hour,start_min,end_hour,end_min,image,progressbar
# enabled: 1=true, 0=false
# days: 0-6 for Mon-Sun (e.g., "01234" = Mon-Fri)
# progressbar: 1=true, 0=false
Get Dressed,1,4,7,0,7,15,get_dressed.bmp,1
Eat Breakfast,1,4,7,15,7,40,breakfast.bmp,1
Toilet and Teeth AM,1,4,7,40,7,50,toilet_and_teeth.bmp,1
Go to School,1,4,7,50,8,15,go_to_school.bmp,1
Dress Up,1,4,16,30,17,0,get_dressed_halloween.bmp,1
Bath Time,1,4,19,15,19,45,bath_time.bmp,1
Pajamas On,1,4,19,45,19,55,get_dressed_night.bmp,1
Toilet and Teeth PM,1,4,19,55,20,0,toilet_and_teeth.bmp,1
Sleep,1,4,20,0,20,35,bed.bmp,0
Trick or Treat,1,4,17,0,19,0,trick_or_treat.bmp,0
